Sexo;Tipo de empleo buscado;Grupos de edad (años);Periodo;Total
ambos sexos;total;de 20 a 24;1990TII;652,7
ambos sexos;total;de 20 a 24;1990TI;692,6
ambos sexos;total;de 20 a 24;1989TIV;709,3
ambos sexos;total;de 20 a 24;1989TIII;675,2
ambos sexos;total;de 20 a 24;1989TII;707,3
ambos sexos;total;de 20 a 24;1989TI;779,7
ambos sexos;total;de 20 a 24;1988TIV;790,5
ambos sexos;total;de 20 a 24;1988TIII;815,9
ambos sexos;total;de 20 a 24;1988TII;835,6
ambos sexos;total;de 20 a 24;1988TI;842,1
ambos sexos;total;de 20 a 24;1987TIV;827,7
ambos sexos;total;de 20 a 24;1987TIII;842,5
ambos sexos;total;de 20 a 24;1987TII;838,1
ambos sexos;total;de 25 a 29;1995TIV;792,8
ambos sexos;total;de 25 a 29;1995TIII;768,9
ambos sexos;total;de 25 a 29;1995TII;764,8
ambos sexos;total;de 25 a 29;1995TI;786,8
ambos sexos;total;de 25 a 29;1994TIV;799,3
ambos sexos;total;de 25 a 29;1994TIII;783,9
ambos sexos;total;de 25 a 29;1994TII;799,7
ambos sexos;total;de 25 a 29;1994TI;817
ambos sexos;total;de 25 a 29;1993TIV;800,5
ambos sexos;total;de 25 a 29;1993TIII;738,4
ambos sexos;total;de 25 a 29;1993TII;723,5
ambos sexos;total;de 25 a 29;1993TI;703
ambos sexos;total;de 25 a 29;1992TIV;664,4
ambos sexos;total;de 25 a 29;1992TIII;587
ambos sexos;total;de 25 a 29;1992TII;562,7
ambos sexos;total;de 25 a 29;1992TI;574,3
ambos sexos;total;de 25 a 29;1991TIV;562,6
ambos sexos;total;de 25 a 29;1991TIII;545,2
ambos sexos;total;de 25 a 29;1991TII;520,5
ambos sexos;total;de 25 a 29;1991TI;520,4
ambos sexos;total;de 25 a 29;1990TIV;515
ambos sexos;total;de 25 a 29;1990TIII;488,9
ambos sexos;total;de 25 a 29;1990TII;511,8
ambos sexos;total;de 25 a 29;1990TI;531,5
ambos sexos;total;de 25 a 29;1989TIV;538,8
ambos sexos;total;de 25 a 29;1989TIII;540,9
ambos sexos;total;de 25 a 29;1989TII;548,2
ambos sexos;total;de 25 a 29;1989TI;572,5
ambos sexos;total;de 25 a 29;1988TIV;560
ambos sexos;total;de 25 a 29;1988TIII;588,7
ambos sexos;total;de 25 a 29;1988TII;586,3
ambos sexos;total;de 25 a 29;1988TI;597,2
ambos sexos;total;de 25 a 29;1987TIV;568,4
ambos sexos;total;de 25 a 29;1987TIII;559,5
ambos sexos;total;de 25 a 29;1987TII;558,3
ambos sexos;total;de 30 a 34;1995TIV;539,8
ambos sexos;total;de 30 a 34;1995TIII;517,2
ambos sexos;total;de 30 a 34;1995TII;538,2
ambos sexos;total;de 30 a 34;1995TI;554,5
ambos sexos;total;de 30 a 34;1994TIV;555
ambos sexos;total;de 30 a 34;1994TIII;543,9
ambos sexos;total;de 30 a 34;1994TII;547,4
ambos sexos;total;de 30 a 34;1994TI;544,5
ambos sexos;total;de 30 a 34;1993TIV;532,2
ambos sexos;total;de 30 a 34;1993TIII;499,2
ambos sexos;total;de 30 a 34;1993TII;488,2
ambos sexos;total;de 30 a 34;1993TI;477,1
ambos sexos;total;de 30 a 34;1992TIV;424,2
ambos sexos;total;de 30 a 34;1992TIII;371,3
ambos sexos;total;de 30 a 34;1992TII;378
ambos sexos;total;de 30 a 34;1992TI;378,5
ambos sexos;total;de 30 a 34;1991TIV;356,1
ambos sexos;total;de 30 a 34;1991TIII;328,5
ambos sexos;total;de 30 a 34;1991TII;316,4
ambos sexos;total;de 30 a 34;1991TI;321,8
ambos sexos;total;de 30 a 34;1990TIV;320,3
ambos sexos;total;de 30 a 34;1990TIII;305
ambos sexos;total;de 30 a 34;1990TII;311,5
ambos sexos;total;de 30 a 34;1990TI;314,6
ambos sexos;total;de 30 a 34;1989TIV;304
ambos sexos;total;de 30 a 34;1989TIII;289,3
ambos sexos;total;de 30 a 34;1989TII;299,4
ambos sexos;total;de 30 a 34;1989TI;309,6
ambos sexos;total;de 30 a 34;1988TIV;291
ambos sexos;total;de 30 a 34;1988TIII;301,6
ambos sexos;total;de 30 a 34;1988TII;308,4
ambos sexos;total;de 30 a 34;1988TI;313,6
ambos sexos;total;de 30 a 34;1987TIV;292,1
ambos sexos;total;de 30 a 34;1987TIII;291,8
ambos sexos;total;de 30 a 34;1987TII;279,7
ambos sexos;total;de 35 a 39;1995TIV;384,9
ambos sexos;total;de 35 a 39;1995TIII;381,1
ambos sexos;total;de 35 a 39;1995TII;382,4
ambos sexos;total;de 35 a 39;1995TI;398,4
ambos sexos;total;de 35 a 39;1994TIV;393,5
ambos sexos;total;de 35 a 39;1994TIII;382,5
ambos sexos;total;de 35 a 39;1994TII;395,6
ambos sexos;total;de 35 a 39;1994TI;400,6
ambos sexos;total;de 35 a 39;1993TIV;377,6
ambos sexos;total;de 35 a 39;1993TIII;344,3
ambos sexos;total;de 35 a 39;1993TII;333,3
ambos sexos;total;de 35 a 39;1993TI;331,1
ambos sexos;total;de 35 a 39;1992TIV;300,1
ambos sexos;total;de 35 a 39;1992TIII;277,5
ambos sexos;total;de 35 a 39;1992TII;265,6
ambos sexos;total;de 35 a 39;1992TI;250,6
ambos sexos;total;de 35 a 39;1991TIV;237,5
ambos sexos;total;de 35 a 39;1991TIII;228,8
ambos sexos;total;de 35 a 39;1991TII;223,7
ambos sexos;total;de 35 a 39;1991TI;224
ambos sexos;total;de 35 a 39;1990TIV;208,2
ambos sexos;total;de 35 a 39;1990TIII;194,4
ambos sexos;total;de 35 a 39;1990TII;200,5
ambos sexos;total;de 35 a 39;1990TI;206,1
ambos sexos;total;de 35 a 39;1989TIV;195,5
ambos sexos;total;de 35 a 39;1989TIII;184,2
ambos sexos;total;de 35 a 39;1989TII;202,1
ambos sexos;total;de 35 a 39;1989TI;208,8
ambos sexos;total;de 35 a 39;1988TIV;199
ambos sexos;total;de 35 a 39;1988TIII;197,9
ambos sexos;total;de 35 a 39;1988TII;206,2
ambos sexos;total;de 35 a 39;1988TI;217,6
ambos sexos;total;de 35 a 39;1987TIV;208,4
ambos sexos;total;de 35 a 39;1987TIII;203,1
ambos sexos;total;de 35 a 39;1987TII;196,4
ambos sexos;total;de 40 a 44;1995TIV;292,8
ambos sexos;total;de 40 a 44;1995TIII;290
ambos sexos;total;de 40 a 44;1995TII;289,4
ambos sexos;total;de 40 a 44;1995TI;295,1
ambos sexos;total;de 40 a 44;1994TIV;296,8
ambos sexos;total;de 40 a 44;1994TIII;292
ambos sexos;total;de 40 a 44;1994TII;299,2
ambos sexos;total;de 40 a 44;1994TI;289,2
ambos sexos;total;de 40 a 44;1993TIV;270,8
ambos sexos;total;de 40 a 44;1993TIII;242,2
ambos sexos;total;de 40 a 44;1993TII;244,1
ambos sexos;total;de 40 a 44;1993TI;227,8
ambos sexos;total;de 40 a 44;1992TIV;218,6
ambos sexos;total;de 40 a 44;1992TIII;211,6
ambos sexos;total;de 40 a 44;1992TII;199
ambos sexos;total;de 40 a 44;1992TI;193,8
ambos sexos;total;de 40 a 44;1991TIV;171,4
ambos sexos;total;de 40 a 44;1991TIII;160,1
ambos sexos;total;de 40 a 44;1991TII;154,5
ambos sexos;total;de 40 a 44;1991TI;157,3
ambos sexos;total;de 40 a 44;1990TIV;152,3
ambos sexos;total;de 40 a 44;1990TIII;141,6
ambos sexos;total;de 40 a 44;1990TII;150,1
ambos sexos;total;de 40 a 44;1990TI;154,4
ambos sexos;total;de 40 a 44;1989TIV;159
ambos sexos;total;de 40 a 44;1989TIII;153,5
ambos sexos;total;de 40 a 44;1989TII;153,6
ambos sexos;total;de 40 a 44;1989TI;158,3
ambos sexos;total;de 40 a 44;1988TIV;157,8
ambos sexos;total;de 40 a 44;1988TIII;154,5
ambos sexos;total;de 40 a 44;1988TII;163,9
ambos sexos;total;de 40 a 44;1988TI;155,6
ambos sexos;total;de 40 a 44;1987TIV;155,7
ambos sexos;total;de 40 a 44;1987TIII;156,6
ambos sexos;total;de 40 a 44;1987TII;159,4
ambos sexos;total;de 45 a 49;1995TIV;224,4
ambos sexos;total;de 45 a 49;1995TIII;235,3
ambos sexos;total;de 45 a 49;1995TII;235,7
ambos sexos;total;de 45 a 49;1995TI;222,9
ambos sexos;total;de 45 a 49;1994TIV;231,5
ambos sexos;total;de 45 a 49;1994TIII;237,1
ambos sexos;total;de 45 a 49;1994TII;238,1
ambos sexos;total;de 45 a 49;1994TI;229,3
ambos sexos;total;de 45 a 49;1993TIV;216,7
ambos sexos;total;de 45 a 49;1993TIII;210,9
ambos sexos;total;de 45 a 49;1993TII;208,8
ambos sexos;total;de 45 a 49;1993TI;195,7
ambos sexos;total;de 45 a 49;1992TIV;171,1
ambos sexos;total;de 45 a 49;1992TIII;154,7
ambos sexos;total;de 45 a 49;1992TII;154,1
ambos sexos;total;de 45 a 49;1992TI;137,6
ambos sexos;total;de 45 a 49;1991TIV;133,1
ambos sexos;total;de 45 a 49;1991TIII;126,8
ambos sexos;total;de 45 a 49;1991TII;120,6
ambos sexos;total;de 45 a 49;1991TI;117,4
ambos sexos;total;de 45 a 49;1990TIV;108,2
ambos sexos;total;de 45 a 49;1990TIII;107,5
ambos sexos;total;de 45 a 49;1990TII;119,6
ambos sexos;total;de 45 a 49;1990TI;113,7
ambos sexos;total;de 45 a 49;1989TIV;117,6
ambos sexos;total;de 45 a 49;1989TIII;103,6
ambos sexos;total;de 45 a 49;1989TII;111,8
ambos sexos;total;de 45 a 49;1989TI;108,3
ambos sexos;total;de 45 a 49;1988TIV;114,7
ambos sexos;total;de 45 a 49;1988TIII;119,4
ambos sexos;total;de 45 a 49;1988TII;122,5
ambos sexos;total;de 45 a 49;1988TI;125
ambos sexos;total;de 45 a 49;1987TIV;124,5
ambos sexos;total;de 45 a 49;1987TIII;132,1
ambos sexos;total;de 45 a 49;1987TII;127,4
ambos sexos;total;de 50 a 54;1995TIV;181,1
ambos sexos;total;de 50 a 54;1995TIII;169,7
ambos sexos;total;de 50 a 54;1995TII;163,1
ambos sexos;total;de 50 a 54;1995TI;160,6
ambos sexos;total;de 50 a 54;1994TIV;167,7
ambos sexos;total;de 50 a 54;1994TIII;161,3
ambos sexos;total;de 50 a 54;1994TII;167,7
ambos sexos;total;de 50 a 54;1994TI;172,2
ambos sexos;total;de 50 a 54;1993TIV;161,8
ambos sexos;total;de 50 a 54;1993TIII;157,9
ambos sexos;total;de 50 a 54;1993TII;157,6
ambos sexos;total;de 50 a 54;1993TI;148,6
ambos sexos;total;de 50 a 54;1992TIV;130,2
ambos sexos;total;de 50 a 54;1992TIII;116,3
ambos sexos;total;de 50 a 54;1992TII;109
ambos sexos;total;de 50 a 54;1992TI;107
ambos sexos;total;de 50 a 54;1991TIV;106
ambos sexos;total;de 50 a 54;1991TIII;105,8
ambos sexos;total;de 50 a 54;1991TII;102,5
ambos sexos;total;de 50 a 54;1991TI;100,1
ambos sexos;total;de 50 a 54;1990TIV;102,5
ambos sexos;total;de 50 a 54;1990TIII;99,2
ambos sexos;total;de 50 a 54;1990TII;107,5
ambos sexos;total;de 50 a 54;1990TI;99,8
ambos sexos;total;de 50 a 54;1989TIV;100
ambos sexos;total;de 50 a 54;1989TIII;99,8
ambos sexos;total;de 50 a 54;1989TII;105
ambos sexos;total;de 50 a 54;1989TI;105,9
ambos sexos;total;de 50 a 54;1988TIV;110,3
ambos sexos;total;de 50 a 54;1988TIII;118,7
ambos sexos;total;de 50 a 54;1988TII;120,8
ambos sexos;total;de 50 a 54;1988TI;120,7
ambos sexos;total;de 50 a 54;1987TIV;126,5
ambos sexos;total;de 50 a 54;1987TIII;129,1
ambos sexos;total;de 50 a 54;1987TII;141,7
ambos sexos;total;de 55 a 59;1995TIV;125,6
ambos sexos;total;de 55 a 59;1995TIII;127,8
ambos sexos;total;de 55 a 59;1995TII;129,4
ambos sexos;total;de 55 a 59;1995TI;143,3
ambos sexos;total;de 55 a 59;1994TIV;143
ambos sexos;total;de 55 a 59;1994TIII;138,4
ambos sexos;total;de 55 a 59;1994TII;149,1
ambos sexos;total;de 55 a 59;1994TI;137,4
ambos sexos;total;de 55 a 59;1993TIV;142,8
ambos sexos;total;de 55 a 59;1993TIII;137,9
ambos sexos;total;de 55 a 59;1993TII;124,3
ambos sexos;total;de 55 a 59;1993TI;129,2
ambos sexos;total;de 55 a 59;1992TIV;117,9
ambos sexos;total;de 55 a 59;1992TIII;115,8
ambos sexos;total;de 55 a 59;1992TII;111,4
ambos sexos;total;de 55 a 59;1992TI;101,3
ambos sexos;total;de 55 a 59;1991TIV;109,5
ambos sexos;total;de 55 a 59;1991TIII;99,4
ambos sexos;total;de 55 a 59;1991TII;96,7
ambos sexos;total;de 55 a 59;1991TI;96,3
ambos sexos;total;de 55 a 59;1990TIV;98,4
ambos sexos;total;de 55 a 59;1990TIII;96
ambos sexos;total;de 55 a 59;1990TII;98,9
ambos sexos;total;de 55 a 59;1990TI;102,4
ambos sexos;total;de 55 a 59;1989TIV;107,4
ambos sexos;total;de 55 a 59;1989TIII;99
ambos sexos;total;de 55 a 59;1989TII;110,8
ambos sexos;total;de 55 a 59;1989TI;110,2
ambos sexos;total;de 55 a 59;1988TIV;110,9
ambos sexos;total;de 55 a 59;1988TIII;108,6
ambos sexos;total;de 55 a 59;1988TII;110,2
ambos sexos;total;de 55 a 59;1988TI;108,2
ambos sexos;total;de 55 a 59;1987TIV;112,7
ambos sexos;total;de 55 a 59;1987TIII;116
ambos sexos;total;de 55 a 59;1987TII;112,2
ambos sexos;total;de 60 a 64;1995TIV;54,9
ambos sexos;total;de 60 a 64;1995TIII;52,4
ambos sexos;total;de 60 a 64;1995TII;55,3
ambos sexos;total;de 60 a 64;1995TI;51,2
ambos sexos;total;de 60 a 64;1994TIV;52,5
ambos sexos;total;de 60 a 64;1994TIII;50,1
ambos sexos;total;de 60 a 64;1994TII;51
ambos sexos;total;de 60 a 64;1994TI;47
ambos sexos;total;de 60 a 64;1993TIV;52,8
ambos sexos;total;de 60 a 64;1993TIII;59,2
ambos sexos;total;de 60 a 64;1993TII;54,3
ambos sexos;total;de 60 a 64;1993TI;46,6
ambos sexos;total;de 60 a 64;1992TIV;47,7
ambos sexos;total;de 60 a 64;1992TIII;47,1
ambos sexos;total;de 60 a 64;1992TII;43,9
ambos sexos;total;de 60 a 64;1992TI;39,8
ambos sexos;total;de 60 a 64;1991TIV;46,7
ambos sexos;total;de 60 a 64;1991TIII;46
ambos sexos;total;de 60 a 64;1991TII;41,6
ambos sexos;total;de 60 a 64;1991TI;40
ambos sexos;total;de 60 a 64;1990TIV;36
ambos sexos;total;de 60 a 64;1990TIII;39,5
ambos sexos;total;de 60 a 64;1990TII;41,9
ambos sexos;total;de 60 a 64;1990TI;41,2
ambos sexos;total;de 60 a 64;1989TIV;45,4
ambos sexos;total;de 60 a 64;1989TIII;45,8
ambos sexos;total;de 60 a 64;1989TII;47,4
ambos sexos;total;de 60 a 64;1989TI;43,1
ambos sexos;total;de 60 a 64;1988TIV;39,4
ambos sexos;total;de 60 a 64;1988TIII;44,6
ambos sexos;total;de 60 a 64;1988TII;43,5
ambos sexos;total;de 60 a 64;1988TI;42,2
ambos sexos;total;de 60 a 64;1987TIV;43,5
ambos sexos;total;de 60 a 64;1987TIII;46,3
ambos sexos;total;de 60 a 64;1987TII;48,1
ambos sexos;total;de 65 a 69;1995TIV;1
ambos sexos;total;de 65 a 69;1995TIII;1,1
ambos sexos;total;de 65 a 69;1995TII;2,2
ambos sexos;total;de 65 a 69;1995TI;2,7
ambos sexos;total;de 65 a 69;1994TIV;2,3
ambos sexos;total;de 65 a 69;1994TIII;3,4
ambos sexos;total;de 65 a 69;1994TII;1,8
ambos sexos;total;de 65 a 69;1994TI;1,1
ambos sexos;total;de 65 a 69;1993TIV;0,3
ambos sexos;total;de 65 a 69;1993TIII;1,6
ambos sexos;total;de 65 a 69;1993TII;1,7
ambos sexos;total;de 65 a 69;1993TI;2
ambos sexos;total;de 65 a 69;1992TIV;2,5
ambos sexos;total;de 65 a 69;1992TIII;4,5
ambos sexos;total;de 65 a 69;1992TII;3,4
ambos sexos;total;de 65 a 69;1992TI;4,2
ambos sexos;total;de 65 a 69;1991TIV;1,9
ambos sexos;total;de 65 a 69;1991TIII;2,3
ambos sexos;total;de 65 a 69;1991TII;1,8
ambos sexos;total;de 65 a 69;1991TI;1,3
ambos sexos;total;de 65 a 69;1990TIV;2,8
ambos sexos;total;de 65 a 69;1990TIII;2,2
ambos sexos;total;de 65 a 69;1990TII;1,6
ambos sexos;total;de 65 a 69;1990TI;1
ambos sexos;total;de 65 a 69;1989TIV;1,3
ambos sexos;total;de 65 a 69;1989TIII;1,3
ambos sexos;total;de 65 a 69;1989TII;2,1
ambos sexos;total;de 65 a 69;1989TI;1,3
ambos sexos;total;de 65 a 69;1988TIV;1,7
ambos sexos;total;de 65 a 69;1988TIII;1,9
ambos sexos;total;de 65 a 69;1988TII;1,6
ambos sexos;total;de 65 a 69;1988TI;2
ambos sexos;total;de 65 a 69;1987TIV;2,3
ambos sexos;total;de 65 a 69;1987TIII;2,9
ambos sexos;total;de 65 a 69;1987TII;2,4
ambos sexos;total;de 70 y más;1995TIV;0,5
ambos sexos;total;de 70 y más;1995TIII;0,7
ambos sexos;total;de 70 y más;1995TII;0,2
ambos sexos;total;de 70 y más;1995TI;0,3
ambos sexos;total;de 70 y más;1994TIV;0,4
ambos sexos;total;de 70 y más;1994TIII;0,3
ambos sexos;total;de 70 y más;1994TII;1,1
ambos sexos;total;de 70 y más;1994TI;0,6
ambos sexos;total;de 70 y más;1993TIV;0,1
ambos sexos;total;de 70 y más;1993TIII;0,3
ambos sexos;total;de 70 y más;1993TII;1,6
ambos sexos;total;de 70 y más;1993TI;2
ambos sexos;total;de 70 y más;1992TIV;2,4
ambos sexos;total;de 70 y más;1992TIII;1,9
ambos sexos;total;de 70 y más;1992TII;1,9
ambos sexos;total;de 70 y más;1992TI;4,5
ambos sexos;total;de 70 y más;1991TIV;0,1
ambos sexos;total;de 70 y más;1991TIII;0,3
ambos sexos;total;de 70 y más;1991TII;0,3
ambos sexos;total;de 70 y más;1991TI;0,6
ambos sexos;total;de 70 y más;1990TIV;0,4
ambos sexos;total;de 70 y más;1990TIII;0,2
ambos sexos;total;de 70 y más;1990TII;0
ambos sexos;total;de 70 y más;1990TI;0
ambos sexos;total;de 70 y más;1989TIV;0,5
ambos sexos;total;de 70 y más;1989TIII;0,1
ambos sexos;total;de 70 y más;1989TII;0,3
ambos sexos;total;de 70 y más;1989TI;0,1
ambos sexos;total;de 70 y más;1988TIV;0,2
ambos sexos;total;de 70 y más;1988TIII;0,2
ambos sexos;total;de 70 y más;1988TII;0,4
ambos sexos;total;de 70 y más;1988TI;0,3
ambos sexos;total;de 70 y más;1987TIV;0,2
ambos sexos;total;de 70 y más;1987TIII;1
ambos sexos;total;de 70 y más;1987TII;0
ambos sexos;de jornada completa únicamente;total;1995TIV;210,2
ambos sexos;de jornada completa únicamente;total;1995TIII;238,6
ambos sexos;de jornada completa únicamente;total;1995TII;241,2
ambos sexos;de jornada completa únicamente;total;1995TI;274,3
ambos sexos;de jornada completa únicamente;total;1994TIV;277,2
ambos sexos;de jornada completa únicamente;total;1994TIII;292,7
ambos sexos;de jornada completa únicamente;total;1994TII;317,6
ambos sexos;de jornada completa únicamente;total;1994TI;326,5
ambos sexos;de jornada completa únicamente;total;1993TIV;308,9
ambos sexos;de jornada completa únicamente;total;1993TIII;339,3
ambos sexos;de jornada completa únicamente;total;1993TII;344,8
ambos sexos;de jornada completa únicamente;total;1993TI;326,5
ambos sexos;de jornada completa únicamente;total;1992TIV;304,1
ambos sexos;de jornada completa únicamente;total;1992TIII;314,6
ambos sexos;de jornada completa únicamente;total;1992TII;347,8
ambos sexos;de jornada completa únicamente;total;1992TI;342,9
ambos sexos;de jornada completa únicamente;total;1991TIV;303,1
ambos sexos;de jornada completa únicamente;total;1991TIII;322,1
ambos sexos;de jornada completa únicamente;total;1991TII;312,2
ambos sexos;de jornada completa únicamente;total;1991TI;330,7
ambos sexos;de jornada completa únicamente;total;1990TIV;309,9
ambos sexos;de jornada completa únicamente;total;1990TIII;316,4
ambos sexos;de jornada completa únicamente;total;1990TII;282,7
ambos sexos;de jornada completa únicamente;total;1990TI;311
ambos sexos;de jornada completa únicamente;total;1989TIV;316,9
ambos sexos;de jornada completa únicamente;total;1989TIII;335,7
ambos sexos;de jornada completa únicamente;total;1989TII;338,3
ambos sexos;de jornada completa únicamente;total;1989TI;346,8
ambos sexos;de jornada completa únicamente;total;1988TIV;328,7
ambos sexos;de jornada completa únicamente;total;1988TIII;392
ambos sexos;de jornada completa únicamente;total;1988TII;390,1
ambos sexos;de jornada completa únicamente;total;1988TI;342,5
ambos sexos;de jornada completa únicamente;total;1987TIV;400,9
ambos sexos;de jornada completa únicamente;total;1987TIII;488,7
ambos sexos;de jornada completa únicamente;total;1987TII;595,7
ambos sexos;de jornada completa únicamente;de 16 a 19;1995TIV;12,7
ambos sexos;de jornada completa únicamente;de 16 a 19;1995TIII;11,1
ambos sexos;de jornada completa únicamente;de 16 a 19;1995TII;13,6
ambos sexos;de jornada completa únicamente;de 16 a 19;1995TI;18,4
ambos sexos;de jornada completa únicamente;de 16 a 19;1994TIV;20
ambos sexos;de jornada completa únicamente;de 16 a 19;1994TIII;21
ambos sexos;de jornada completa únicamente;de 16 a 19;1994TII;20,7
ambos sexos;de jornada completa únicamente;de 16 a 19;1994TI;24,3
ambos sexos;de jornada completa únicamente;de 16 a 19;1993TIV;23,2
ambos sexos;de jornada completa únicamente;de 16 a 19;1993TIII;31,5
ambos sexos;de jornada completa únicamente;de 16 a 19;1993TII;29,1
ambos sexos;de jornada completa únicamente;de 16 a 19;1993TI;27,8
ambos sexos;de jornada completa únicamente;de 16 a 19;1992TIV;22,9
ambos sexos;de jornada completa únicamente;de 16 a 19;1992TIII;29,8
ambos sexos;de jornada completa únicamente;de 16 a 19;1992TII;28,2
ambos sexos;de jornada completa únicamente;de 16 a 19;1992TI;30,8
ambos sexos;de jornada completa únicamente;de 16 a 19;1991TIV;21,6
ambos sexos;de jornada completa únicamente;de 16 a 19;1991TIII;22,5
ambos sexos;de jornada completa únicamente;de 16 a 19;1991TII;21,4
ambos sexos;de jornada completa únicamente;de 16 a 19;1991TI;28,5
ambos sexos;de jornada completa únicamente;de 16 a 19;1990TIV;27,8
ambos sexos;de jornada completa únicamente;de 16 a 19;1990TIII;37,8
ambos sexos;de jornada completa únicamente;de 16 a 19;1990TII;28,9
ambos sexos;de jornada completa únicamente;de 16 a 19;1990TI;34
ambos sexos;de jornada completa únicamente;de 16 a 19;1989TIV;30,8
ambos sexos;de jornada completa únicamente;de 16 a 19;1989TIII;40,9
ambos sexos;de jornada completa únicamente;de 16 a 19;1989TII;35,9
ambos sexos;de jornada completa únicamente;de 16 a 19;1989TI;39,9
ambos sexos;de jornada completa únicamente;de 16 a 19;1988TIV;38,3
ambos sexos;de jornada completa únicamente;de 16 a 19;1988TIII;54,1
ambos sexos;de jornada completa únicamente;de 16 a 19;1988TII;52,2
